Rank,Ticker,Company,Industry,City,State,Zip,Website,Employees,"Revenue (in millions, USD)","Valuation (in millions, USD)","Profits (in millions, USD)",Profits (% of Sales),CEO
148,PYPL,PayPal Holdings,Financial Data Services,San Jose,California,95131,www.paypal.com,"29,900","$27,518","$85,917","$2,419",8.8,Daniel H. Schulman
149,USB,U.S. Bancorp,Commercial Banks,Minneapolis,Minnesota,55402,www.usbank.com,"76,646","$27,401","$55,221","$5,825",21.3,Andrew J. Cecere
150,GILD,Gilead Sciences,Pharmaceuticals,Foster City,California,94404,www.gilead.com,"17,000","$27,281","$103,614","$4,592",16.8,Daniel P. O'Day
151,AN,AutoNation,"Automotive Retailing, Services",Fort Lauderdale,Florida,33301,www.autonation.com,"23,600","$26,985","$6,301","$1,377",5.1,Michael Manley
152,NVDA,Nvidia,Semiconductors and Other Electronic Components,Santa Clara,California,95051,www.nvidia.com,"26,196","$26,974","$686,092","$4,368",16.2,Jen-Hsun Huang
153,KHC,Kraft Heinz,Food Consumer Products,Chicago,Illinois,60601,www.kraftheinzcompany.com,"37,000","$26,485","$47,448","$2,363",8.9,Miguel Patricio
154,AMGN,Amgen,Pharmaceuticals,Thousand Oaks,California,91320,www.amgen.com,"25,200","$26,323","$129,089","$6,552",24.9,Robert A. Bradway
155,AMAT,Applied Materials,Semiconductors and Other Electronic Components,Santa Clara,California,95054,www.appliedmaterials.com,"33,000","$25,785","$103,806","$6,525",25.3,Gary E. Dickerson
156,EOG,EOG Resources,"Mining, Crude-Oil Production",Houston,Texas,77002,www.eogresources.com,"2,850","$25,702","$67,371","$7,759",30.2,Ezra Yacob
157,TFC,Truist Financial,Commercial Banks,Charlotte,North Carolina,28202,www.truist.com,"53,987","$25,356","$45,290","$6,260",24.7,William H. Rogers Jr.
158,M,Macy's,General Merchandisers,New York,New York,10001,www.macysinc.com,"94,570","$25,305","$4,747","$1,177",4.7,Jeffrey Gennette
159,UNP,Union Pacific,Railroads,Omaha,Nebraska,68179,www.up.com,"33,179","$24,875","$123,146","$6,998",28.1,Lance M. Fritz
160,CHRW,C.H. Robinson Worldwide,Transportation and Logistics,Eden Prairie,Minnesota,55347,www.chrobinson.com,"17,399","$24,697","$11,417",$941,3.8,Scott Anderson
161,RAD,Rite Aid,Food and Drug Stores,Philadelphia,Pennsylvania,19112,www.riteaid.com,"53,000","$24,568",$127,-$539,-2.2,
162,CEG,Constellation Energy,Energy,Baltimore,Maryland,21231,www.constellationenergy.com,"13,370","$24,440","$25,712",-$160,-0.7,Joseph Dominguez
163,AVT,Avnet,Wholesalers: Electronics and Office Equipment,Phoenix,Arizona,85034,www.avnet.com,"15,300","$24,311","$4,130",$692,2.8,Philip R. Gallagher
164,PXD,Pioneer Natural Resources,"Mining, Crude-Oil Production",Irving,Texas,75038,www.pxd.com,"2,076","$24,294","$47,997","$7,845",32.3,Scott D. Sheffield
165,LUV,Southwest Airlines,Airlines,Dallas,Texas,75235,www.southwest.com,"66,656","$23,814","$19,338",$539,2.3,Robert E. Jordan
166,CDW,CDW,Information Technology Services,Lincolnshire,Illinois,60069,www.cdw.com,"15,100","$23,749","$26,337","$1,115",4.7,Christine A. Leahy
167,AMD,Advanced Micro Devices,Semiconductors and Other Electronic Components,Santa Clara,California,95054,www.amd.com,"25,000","$23,601","$157,738","$1,320",5.6,Lisa T. Su
168,PNC,PNC Financial Services Group,Commercial Banks,Pittsburgh,Pennsylvania,15222,www.pnc.com,"60,720","$23,542","$50,800","$6,041",25.7,William S. Demchak
169,MCD,McDonald's,Food Services,Chicago,Illinois,60607,www.investor.mcdonalds.com,"150,000","$23,183","$204,534","$6,177",26.6,Christopher J. Kempczinski
170,CLF,Cleveland-Cliffs,Metals,Cleveland,Ohio,44114,www.clevelandcliffs.com,"27,000","$22,989","$9,436","$1,335",5.8,Lourenco Goncalves
171,FCX,Freeport-McMoRan,"Mining, Crude-Oil Production",Phoenix,Arizona,85004,www.fcx.com,"25,600","$22,780","$58,530","$3,468",15.2,Richard C. Adkerson
172,BLDR,Builders FirstSource,"Building Materials, Glass",Dallas,Texas,75201,www.bldr.com,"29,000","$22,726","$12,253","$2,749",12.1,Dave Rush
173,OKE,Oneok,Pipelines,Tulsa,Oklahoma,74103,www.oneok.com,"2,966","$22,387","$28,416","$1,722",7.7,Pierce Norton
174,HIG,Hartford Financial Services Group,Insurance: Property and Casualty (Stock),Hartford,Connecticut,6155,www.thehartford.com,"18,800","$22,362","$21,817","$1,815",8.1,Christopher J. Swift
175,SCHW,Charles Schwab,Securities,Westlake,Texas,76262,www.aboutschwab.com,"35,300","$22,307","$95,264","$7,183",32.2,Walter W. Bettinger
176,STLD,Steel Dynamics,Metals,Fort Wayne,Indiana,46804,www.steeldynamics.com,"12,060","$22,261","$19,286","$3,863",17.4,Mark D. Millett
177,MA,Mastercard,Financial Data Services,Purchase,New York,10577,www.mastercard.com,"29,900","$22,237","$346,418","$9,930",44.7,Michael Miebach
178,SHW,Sherwin-Williams,Chemicals,Cleveland,Ohio,44115,www.sherwin.com,"64,366","$22,149","$58,090","$2,020",9.1,
179,GPC,Genuine Parts,Wholesalers: Diversified,Atlanta,Georgia,30339,www.genpt.com,"58,000","$22,096","$23,559","$1,183",5.4,Paul Donahue
180,PCG,PG&E,Utilities: Gas and Electric,Oakland,California,94612,www.pgecorp.com,"26,010","$21,680","$32,154","$1,800",8.3,
