Ticker,Word,Count,EachWordCount,StockPriceChange,WordValue
WMT,investing,10,24,11.789999999999992,0.04912499999999997
WMT,Cryptocurrency,1,24,11.789999999999992,0.4912499999999997
WMT,Top Stories,2,24,11.789999999999992,0.24562499999999984
WMT,Markets,4,24,11.789999999999992,0.12281249999999992
WMT,News,8,24,11.789999999999992,0.06140624999999996
WMT,Upgrades,2,24,11.789999999999992,0.24562499999999984
WMT,Price Target,5,24,11.789999999999992,0.09824999999999993
WMT,Reiteration,4,24,11.789999999999992,0.12281249999999992
WMT,Analyst Ratings,7,24,11.789999999999992,0.07017857142857138
WMT,Trading Ideas,6,24,11.789999999999992,0.08187499999999995
WMT,Downgrades,1,24,11.789999999999992,0.4912499999999997
WMT,Initiation,1,24,11.789999999999992,0.4912499999999997
WMT,Intraday Update,1,24,11.789999999999992,0.4912499999999997
WMT,Penny Stocks,1,24,11.789999999999992,0.4912499999999997
WMT,Small Cap,1,24,11.789999999999992,0.4912499999999997
WMT,Pre-Market Outlook,1,24,11.789999999999992,0.4912499999999997
WMT,Analyst Color,3,24,11.789999999999992,0.1637499999999999
WMT,General,3,24,11.789999999999992,0.1637499999999999
WMT,Tech,1,24,11.789999999999992,0.4912499999999997
WMT,Long Ideas,1,24,11.789999999999992,0.4912499999999997
WMT,Large Cap,1,24,11.789999999999992,0.4912499999999997
WMT,Broad U.S. Equity ETFs,1,24,11.789999999999992,0.4912499999999997
WMT,ETFs,1,24,11.789999999999992,0.4912499999999997
WMT,Equities,1,24,11.789999999999992,0.4912499999999997
AMZN,investing,11,33,61.57000000000001,0.16961432506887053
AMZN,News,9,33,61.57000000000001,0.20730639730639733
AMZN,Earnings,2,33,61.57000000000001,0.932878787878788
AMZN,After-Hours Center,1,33,61.57000000000001,1.865757575757576
AMZN,Movers,1,33,61.57000000000001,1.865757575757576
AMZN,Trading Ideas,5,33,61.57000000000001,0.3731515151515152
AMZN,Analyst Ratings,4,33,61.57000000000001,0.466439393939394
AMZN,Tech,5,33,61.57000000000001,0.3731515151515152
AMZN,Penny Stocks,1,33,61.57000000000001,1.865757575757576
AMZN,Large Cap,1,33,61.57000000000001,1.865757575757576
AMZN,Small Cap,2,33,61.57000000000001,0.932878787878788
